refNum,lowBox,lowPaper,highBox,highPaper,lowPrice,highPrice,highLink,lowLink,lowAge,highAge,lowDealerStatus,highDealerStatus,generalLink,dateOfScrape,imageLow,imageHigh,brandLow,brandHigh,website,lowSku,highSku,
116500LN-0001,Yes,Yes,Yes,Yes,36000,36000,https://www.luxurybazaar.com/rolex-oyster-perpetual-cosmograph-daytona-watch-116500ln-0001-7,https://www.luxurybazaar.com/rolex-oyster-perpetual-cosmograph-daytona-watch-116500ln-0001-7,2019,2019,,,https://www.luxurybazaar.com/search-results?q=116500LN-0001,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_205293_0331.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_205293_0331.jpg,Rolex,Rolex,LuxuryBazaar,205293,205293,
116610LN-0001,Yes,Yes,Yes,Yes,13995,14995,https://www.luxurybazaar.com/rolex-watch-116610ln-9,https://www.luxurybazaar.com/rolex-submariner-date-watch-116610ln-10,2020,2017,,,https://www.luxurybazaar.com/search-results?q=116610LN,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_197857_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,Rolex,Rolex,LuxuryBazaar,205167,203967,
126610LV-0002,Yes,Yes,Yes,Yes,18195,21995,https://www.luxurybazaar.com/rolex-submariner-date-41mm-watch-126610lv-3,https://www.luxurybazaar.com/rolex-watch-126610lv,2022,2022,,,https://www.luxurybazaar.com/search-results?q=126610LV,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126610lv_195172_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126610lv_205426_0814.jpg,Rolex,Rolex,LuxuryBazaar,198617,205426,
116610LV-0002,No,No,No,No,26295,26295,https://www.luxurybazaar.com/rolex-watch-116610lv-5,https://www.luxurybazaar.com/rolex-watch-116610lv-5,,,,,https://www.luxurybazaar.com/search-results?q=116610LV,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpg,Rolex,Rolex,LuxuryBazaar,202818,202818,
16610 BLK OYS,No,No,Yes,Yes,11595,20595,https://www.luxurybazaar.com/rolex-submariner-date-kermit-watch-16610lv-1,https://www.luxurybazaar.com/rolex-watch-16610,1999,2006,,,https://www.luxurybazaar.com/search-results?q=16610#/filter:lux_wa_dialcolor:Black,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16610_203706_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16610lv_204753_33694.jpg,Rolex,Rolex,LuxuryBazaar,203706,204753,
126610LN-0001,Yes,Yes,Yes,Yes,15295,15295,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610ln-0001-3,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610ln-0001-3,2022,2022,,,https://www.luxurybazaar.com/search-results?q=126610LN,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126610ln001_198933_1a_3a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126610ln001_198933_1a_3a.jpg,Rolex,Rolex,LuxuryBazaar,205284,205284,
114060-0002,Yes,Yes,Yes,Yes,13995,14595,https://www.luxurybazaar.com/rolex-watch-114060-4,https://www.luxurybazaar.com/rolex-watch-114060-3,2020,2020,,,https://www.luxurybazaar.com/search-results?q=114060,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114060_204215_32353.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,Rolex,Rolex,LuxuryBazaar,204215,204637,
126600-0001,Yes,Yes,Yes,Yes,15195,15195,https://www.luxurybazaar.com/rolex-oystersteel-sea-dweller-black-dial-watch-126600-0001-7,https://www.luxurybazaar.com/rolex-oystersteel-sea-dweller-black-dial-watch-126600-0001-7,2019,2019,,,https://www.luxurybazaar.com/search-results?q=126600,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126600_205391_1061.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126600_205391_1061.jpg,Rolex,Rolex,LuxuryBazaar,205391,205391,
116900-0001,Yes,Yes,Yes,Yes,10795,11595,https://www.luxurybazaar.com/rolex-watch-116900-2,https://www.luxurybazaar.com/rolex-air-king-watch-116900-0001,2022,,,,https://www.luxurybazaar.com/search-results?q=116900,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204173_32391.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204159_32174.jpg,Rolex,Rolex,LuxuryBazaar,204173,204159,
126711CHNR-0002,Yes,Yes,Yes,Yes,21995,21995,https://www.luxurybazaar.com/rolex-watch-126711chnr-7,https://www.luxurybazaar.com/rolex-watch-126711chnr-7,2021,2021,,,https://www.luxurybazaar.com/search-results?q=126711CHNR,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126711chnr_205413_1035.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126711chnr_205413_1035.jpg,Rolex,Rolex,LuxuryBazaar,205413,205413,
126710BLRO-0001,Yes,Yes,Yes,Yes,23995,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,2020,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO-0001,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205114,205114,
126710BLRO-0002,Yes,Yes,Yes,Yes,23995,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,2020,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205114,205114,
116400GV-0002,Yes,Yes,Yes,Yes,13995,14995,https://www.luxurybazaar.com/rolex-watch-1166400gv,https://www.luxurybazaar.com/rolex-milgauss-watch-116400gv-0002-3,2021,2017,,,https://www.luxurybazaar.com/search-results?q=116400GV#/filter:lux_wa_dialcolor:Blue,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_204089_1a_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_198523_1.jpeg,Rolex,Rolex,LuxuryBazaar,205227,200050,
126710BLNR-0002,Yes,Yes,Yes,Yes,22995,22995,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blnr-0002-13,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blnr-0002-13,2019,2019,,,https://www.luxurybazaar.com/search-results?q=126710BLNR-0002,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126720blnr_199017_1_1a_1_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126720blnr_199017_1_1a_1_1.jpeg,Rolex,Rolex,LuxuryBazaar,204931,204931,
116660-0001,No,No,No,No,13295,13295,https://www.luxurybazaar.com/rolex-sea-dweller-deepsea-watch-116660-3,https://www.luxurybazaar.com/rolex-sea-dweller-deepsea-watch-116660-3,2013,2013,,,https://www.luxurybazaar.com/search-results?q=116660,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116660_205303_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116660_205303_1a.jpg,Rolex,Rolex,LuxuryBazaar,205303,205303,
114270-0001,Yes,Yes,Yes,Yes,7495,7495,https://www.luxurybazaar.com/rolex-explorer-i-mens-automatic-watch-114270-2,https://www.luxurybazaar.com/rolex-explorer-i-mens-automatic-watch-114270-2,2006,2006,,,https://www.luxurybazaar.com/search-results?q=114270,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114270_204610_33416.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114270_204610_33416.jpg,Rolex,Rolex,LuxuryBazaar,204610,204610,
16622 PT IX OYS,Yes,Yes,Yes,Yes,13995,13995,https://www.luxurybazaar.com/rolex-yacht-master-watch-16622,https://www.luxurybazaar.com/rolex-yacht-master-watch-16622,2012,2012,,,https://www.luxurybazaar.com/search-results?q=16622,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16622_205262_0039.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16622_205262_0039.jpg,Rolex,Rolex,LuxuryBazaar,205262,205262,
126660-0002,Yes,Yes,Yes,Yes,17595,17595,https://www.luxurybazaar.com/rolex-watch-126660-4,https://www.luxurybazaar.com/rolex-watch-126660-4,2021,2021,,,https://www.luxurybazaar.com/search-results?q=126660#/filter:lux_wa_dialcolor:Blue,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126660_205416_1a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126660_205416_1a.jpg,Rolex,Rolex,LuxuryBazaar,205416,205416,
116400GV-0002,Yes,Yes,Yes,Yes,13995,14995,https://www.luxurybazaar.com/rolex-watch-1166400gv,https://www.luxurybazaar.com/rolex-milgauss-watch-116400gv-0002-3,2021,2017,,,https://www.luxurybazaar.com/search-results?q=116400GV#/filter:lux_wa_dialcolor:Blue,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_204089_1a_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_198523_1.jpeg,Rolex,Rolex,LuxuryBazaar,205227,200050,
226659-0002,No,No,No,No,27995,27995,https://www.luxurybazaar.com/rolex-watch-226659-1,https://www.luxurybazaar.com/rolex-watch-226659-1,,,,,https://www.luxurybazaar.com/search-results?q=226659#/filter:lux_wa_dialcolor:Black,2022_08_19,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_226659_205507_1115.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_226659_205507_1115.jpg,Rolex,Rolex,LuxuryBazaar,205507,205507,
