refNum,lowBox,lowPaper,highBox,highPaper,lowPrice,highPrice,highLink,lowLink,lowAge,highAge,lowDealerStatus,highDealerStatus,generalLink,dateOfScrape,imageLow,imageHigh,brandLow,brandHigh,website,lowSku,highSku,
116610LN-0001,Yes,Yes,Yes,Yes,13750,13750,https://www.luxurybazaar.com/rolex-watch-116610ln-9,https://www.luxurybazaar.com/rolex-watch-116610ln-9,2017,2017,,,https://www.luxurybazaar.com/search-results?q=116610LN,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,Rolex,Rolex,LuxuryBazaar,203967,203967,
126610LV-0002,Yes,Yes,Yes,Yes,20995,20995,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,2022,2022,,,https://www.luxurybazaar.com/search-results?q=126610LV,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,Rolex,Rolex,LuxuryBazaar,204885,204885,
16610 BLK OYS,Yes,Yes,Yes,Yes,13750,19950,https://www.luxurybazaar.com/rolex-submariner-date-kermit-watch-16610lv-1,https://www.luxurybazaar.com/rolex-watch-116610ln-9,2017,2006,,,https://www.luxurybazaar.com/search-results?q=16610#/filter:lux_wa_dialcolor:Black,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16610lv_204753_33694.jpg,Rolex,Rolex,LuxuryBazaar,203967,204753,
114060-0002,Yes,Yes,Yes,Yes,13450,13450,https://www.luxurybazaar.com/rolex-watch-114060-4,https://www.luxurybazaar.com/rolex-watch-114060-4,2020,2020,,,https://www.luxurybazaar.com/search-results?q=114060,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,Rolex,Rolex,LuxuryBazaar,204637,204637,
116900-0001,Yes,Yes,Yes,Yes,9495,11595,https://www.luxurybazaar.com/rolex-watch-116900-2,https://www.luxurybazaar.com/rolex-watch-116900-3,2020,,,,https://www.luxurybazaar.com/search-results?q=116900,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_205504_1353.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204159_32174.jpg,Rolex,Rolex,LuxuryBazaar,205504,204159,
116613LB,No,No,No,No,17995,17995,https://www.luxurybazaar.com/rolex-watch-116613lb-3,https://www.luxurybazaar.com/rolex-watch-116613lb-3,2017,2017,,,https://www.luxurybazaar.com/search-results?q=116613LB,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116613lb_205660_2213a.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116613lb_205660_2213a.jpg,Rolex,Rolex,LuxuryBazaar,205660,205660,
126710BLRO-0001,Yes,Yes,Yes,Yes,23995,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,2020,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO-0001,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205114,205114,
126710BLRO-0002,Yes,Yes,Yes,Yes,23995,23995,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,https://www.luxurybazaar.com/rolex-gmt-master-ii-126710blro-0001-1,2020,2020,,,https://www.luxurybazaar.com/search-results?q=126710BLRO,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126710blro_199548_1a_1.jpeg,Rolex,Rolex,LuxuryBazaar,205114,205114,
116400GV-0002,Yes,Yes,Yes,Yes,13450,13450,https://www.luxurybazaar.com/rolex-watch-1166400gv,https://www.luxurybazaar.com/rolex-watch-1166400gv,2017,2017,,,https://www.luxurybazaar.com/search-results?q=116400GV#/filter:lux_wa_dialcolor:Blue,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_198523_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116400gv_198523_1.jpeg,Rolex,Rolex,LuxuryBazaar,200050,200050,
126710BLNR-0002,Yes,Yes,Yes,Yes,20950,20950,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blnr-0002-13,https://www.luxurybazaar.com/rolex-gmt-master-ii-watch-126710blnr-0002-13,2019,2019,,,https://www.luxurybazaar.com/search-results?q=126710BLNR-0002,2022_09_21,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126720blnr_199017_1_1a_1_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126720blnr_199017_1_1a_1_1.jpeg,Rolex,Rolex,LuxuryBazaar,204931,204931,
